Date,Price
2023-08-07,29227.915
2023-08-08,29761.1538
2023-08-09,29569.8545
2023-08-10,29466.9362
2023-08-11,29418.0509
2023-08-12,29482.0861
2023-08-13,29386.058
2023-08-14,29433.8619
2023-08-15,29185.6661
2023-08-16,28924.3126
2023-08-17,26384.6215
2023-08-18,26144.2919
2023-08-19,26225.9094
2023-08-20,26251.3066
2023-08-21,26147.6146
2023-08-22,25815.3626
2023-08-23,26468.8391
2023-08-24,26098.0196
2023-08-25,26036.48
2023-08-26,26026.2111
2023-08-27,26070.0944
2023-08-28,26025.0598
2023-08-29,27614.8618
2023-08-30,27260.6999
2023-08-31,26007.0541
2023-09-01,25803.766
2023-09-02,25864.3073
2023-09-03,25967.5232
2023-09-04,25757.5643
2023-09-05,25739.7567
2023-09-06,25752.2577
2023-09-07,26346.7161
2023-09-08,25910.4278
2023-09-09,25904.7387
2023-09-10,25901.0221
2023-09-11,25152.9017
2023-09-12,25987.3015
2023-09-13,26259.0581
2023-09-14,26610.6651
2023-09-15,26702.9224
2023-09-16,26563.974
2023-09-17,26448.2709
2023-09-18,26796.6241
2023-09-19,27184.2928
2023-09-20,27109.2715
2023-09-21,26558.4805
2023-09-22,26556.796
2023-09-23,26597.281
2023-09-24,26509.7867
2023-09-25,26267.3307
2023-09-26,26159.0953
2023-09-27,26297.7209
2023-09-28,27044.8335
2023-09-29,26863.4056
2023-09-30,27022.8263
2023-10-01,27914.1569
2023-10-02,27520.832
2023-10-03,27321.3315
2023-10-04,27759.8011
2023-10-05,27476.9282
2023-10-06,28042.1498
2023-10-07,27970.921
2023-10-08,27910.3748
2023-10-09,27604.4566
2023-10-10,27449.5788
2023-10-11,26782.5998
2023-10-12,26723.8786
2023-10-13,26904.8796
2023-10-14,26843.9536
2023-10-15,27188.3438
2023-10-16,28497.1614
2023-10-17,28413.6433
2023-10-18,28323.0347
2023-10-19,28704.4886
2023-10-20,29626.0197
2023-10-21,29995.8814
2023-10-22,29987.5648
2023-10-23,34238.0442
2023-10-24,34070.8096
2023-10-25,34647.9354
2023-10-26,34206.567
2023-10-27,33834.3627
2023-10-28,34136.3192
2023-10-29,34688.2024
2023-10-30,34502.9235
2023-10-31,34625.5295
2023-11-01,35230.1437
2023-11-02,34808.7687
2023-11-03,34614.0313
2023-11-04,35071.6278
2023-11-05,34809.408
2023-11-06,35093.1694
2023-11-07,35348.9798
2023-11-08,35737.8004
2023-11-09,36553.0496
2023-11-10,36607.8595
2023-11-11,36919.1124
2023-11-12,37156.1106
2023-11-13,36496.4012
2023-11-14,35575.0311
2023-11-15,37800.8572
2023-11-16,36171.9535
2023-11-17,36458.0548
2023-11-18,36536.5693
2023-11-19,36971.2677
2023-11-20,37473.7666
2023-11-21,36519.0237
2023-11-22,37288.6278
2023-11-23,37246.8769
2023-11-24,37449.4459
2023-11-25,37427.8829
2023-11-26,37448.7042
2023-11-27,37128.4851
2023-11-28,37767.3419
2023-11-29,37602.0408
2023-11-30,37658.0804
2023-12-01,38373.9045
2023-12-02,38689.6909
2023-12-03,39264.3088
2023-12-04,40858.5219
2023-12-05,44206.507
2023-12-06,43827.5643
2023-12-07,43275.344
2023-12-08,44429.6102
2023-12-09,44091.9969
2023-12-10,43894.7011
2023-12-11,41309.1386
2023-12-12,41219.8866
2023-12-13,43054.0234
2023-12-14,43061.732
2023-12-15,42081.9602
2023-12-16,42289.8343
2023-12-17,41629.0276
2023-12-18,42568.5631
2023-12-19,42280.4243
2023-12-20,43592.9694
2023-12-21,43970.8792
2023-12-22,43858.0223
2023-12-23,43942.962
2023-12-24,43145.7864
2023-12-25,43800.2783
2023-12-26,42528.3424
2023-12-27,43423.1848
2023-12-28,42641.3451
2023-12-29,41886.0944
2023-12-30,42329.6196
2023-12-31,42556.9256
2024-01-01,43553.1562
2024-01-02,44983.9221
2024-01-03,42785.6967
2024-01-04,44463.4136
2024-01-05,43882.3896
2024-01-06,44004.5206
2024-01-07,44035.6859
2024-01-08,46912.9416
2024-01-09,46105.4851
2024-01-10,46501.6775
2024-01-11,46255.1165
2024-01-12,42181.0731
2024-01-13,43060.586
2024-01-14,42379.318
2024-01-15,42780.6816
2024-01-16,43253.2822
2024-01-17,42596.1997
2024-01-18,41289.1846
2024-01-19,41599.95
2024-01-20,41820.3059
2024-01-21,41729.5895
2024-01-22,39784.1662
2024-01-23,39567.283
2024-01-24,39840.7649
2024-01-25,39942.1501
2024-01-26,41915.1145
2024-01-27,42215.1644
2024-01-28,41789.7427
2024-01-29,43188.8078
2024-01-30,43525.2915
2024-01-31,42652.8204
2024-02-01,42957.1709
2024-02-02,43100.024
2024-02-03,43097.1861
2024-02-04,42501.4566
2024-02-05,42419.0324
2024-02-06,43200.8789
2024-02-07,44244.0793
2024-02-08,45307.9596
2024-02-09,47163.3999
2024-02-10,47683.9222
2024-02-11,48062.2261
2024-02-12,49993.3394
2024-02-13,49524.4548
2024-02-14,51793.6637
2024-02-15,51732.5209
2024-02-16,51980.5505
2024-02-17,51717.2523
2024-02-18,52203.981
2024-02-19,52020.2098
2024-02-20,52309.7382
2024-02-21,51464.0581
2024-02-22,51468.4029
2024-02-23,50927.5343
2024-02-24,51683.013
2024-02-25,51891.798
2024-02-26,54505.7516
2024-02-27,56933.1495
2024-02-28,61185.6527
2024-02-29,60823.8397
2024-03-01,62520.8425
2024-03-02,61924.9269
2024-03-03,63097.4688
2024-03-04,67890.7947
2024-03-05,63140.7785
2024-03-06,66311.1691
2024-03-07,67202.2611
2024-03-08,68500.5853
2024-03-09,68501.3242
2024-03-10,68540.9768
2024-03-11,72237.0422
2024-03-12,71230.3301
2024-03-13,72921.6844
2024-03-14,71519.9206
2024-03-15,68793.6317
2024-03-16,66695.1917
2024-03-17,68807.3754
2024-03-18,67423.8356
2024-03-19,62826.4549
2024-03-20,67597.2124
2024-03-21,65667.7691
2024-03-22,63147.5874
2024-03-23,65164.5467
2024-03-24,67005.9956
2024-03-25,70668.1481
2024-03-26,70074.4977
2024-03-27,69482.711
2024-03-28,70828.8716
2024-03-29,69811.02
2024-03-30,69851.3342
2024-03-31,71043.4446
2024-04-01,69739.6539
2024-04-02,65897.0606
2024-04-03,66284.7934
2024-04-04,68030.2286
2024-04-05,67855.5561
2024-04-06,68870.2756
2024-04-07,69372.7562
2024-04-08,71484.5051
2024-04-09,69404.3757
2024-04-10,70742.0995
2024-04-11,70172.3668
2024-04-12,67293.5585
2024-04-13,65178.0674
2024-04-14,65247.7126
2024-04-15,63492.9405
2024-04-16,63806.3063
2024-04-17,61577.2919
2024-04-18,63675.9984
2024-04-19,64334.9738
2024-04-20,64784.2824
2024-04-21,65163.7951
2024-04-22,66750.8204
2024-04-23,66504.1752
2024-04-24,64215.7648
2024-04-25,64664.3965
2024-04-26,63820.8552
2024-04-27,63304.6937
2024-04-28,63188.765
2024-04-29,63783.4029
2024-04-30,60722.005
2024-05-01,57971.1695
